route_id,service_id,trip_id,trip_headsign,direction_id
ONQC,S,0000e,Montreal,0
ONQC,S,0030e,Montreal,0
ONQC,S,0100e,Montreal,0
ONQC,S,0130e,Montreal,0
ONQC,S,0200e,Montreal,0
ONQC,S,0230e,Montreal,0
ONQC,S,0300e,Montreal,0
ONQC,S,0330e,Montreal,0
ONQC,S,0400e,Montreal,0
ONQC,S,0430e,Montreal,0
ONQC,S,0500e,Montreal,0
ONQC,S,0530e,Montreal,0
ONQC,S,0600e,Montreal,0
ONQC,S,0615e,Montreal,0
ONQC,S,0630e,Montreal,0
ONQC,S,0645e,Montreal,0
ONQC,S,0700e,Montreal,0
ONQC,S,0715e,Montreal,0
ONQC,S,0730e,Montreal,0
ONQC,S,0745e,Montreal,0
ONQC,S,0800e,Montreal,0
ONQC,S,0815e,Montreal,0
ONQC,S,0830e,Montreal,0
ONQC,S,0845e,Montreal,0
ONQC,S,0900e,Montreal,0
ONQC,S,0915e,Montreal,0
ONQC,S,0930e,Montreal,0
ONQC,S,0945e,Montreal,0
ONQC,S,1000e,Montreal,0
ONQC,S,1015e,Montreal,0
ONQC,S,1030e,Montreal,0
ONQC,S,1045e,Montreal,0
ONQC,S,1100e,Montreal,0
ONQC,S,1115e,Montreal,0
ONQC,S,1130e,Montreal,0
ONQC,S,1145e,Montreal,0
ONQC,S,1200e,Montreal,0
ONQC,S,1215e,Montreal,0
ONQC,S,1230e,Montreal,0
ONQC,S,1245e,Montreal,0
ONQC,S,1300e,Montreal,0
ONQC,S,1315e,Montreal,0
ONQC,S,1330e,Montreal,0
ONQC,S,1345e,Montreal,0
ONQC,S,1400e,Montreal,0
ONQC,S,1415e,Montreal,0
ONQC,S,1430e,Montreal,0
ONQC,S,1445e,Montreal,0
ONQC,S,1500e,Montreal,0
ONQC,S,1515e,Montreal,0
ONQC,S,1530e,Montreal,0
ONQC,S,1545e,Montreal,0
ONQC,S,1600e,Montreal,0
ONQC,S,1615e,Montreal,0
ONQC,S,1630e,Montreal,0
ONQC,S,1645e,Montreal,0
ONQC,S,1700e,Montreal,0
ONQC,S,1715e,Montreal,0
ONQC,S,1730e,Montreal,0
ONQC,S,1745e,Montreal,0
ONQC,S,1800e,Montreal,0
ONQC,S,1815e,Montreal,0
ONQC,S,1830e,Montreal,0
ONQC,S,1845e,Montreal,0
ONQC,S,1900e,Montreal,0
ONQC,S,1915e,Montreal,0
ONQC,S,1930e,Montreal,0
ONQC,S,1945e,Montreal,0
ONQC,S,2000e,Montreal,0
ONQC,S,2015e,Montreal,0
ONQC,S,2030e,Montreal,0
ONQC,S,2045e,Montreal,0
ONQC,S,2100e,Montreal,0
ONQC,S,2115e,Montreal,0
ONQC,S,2130e,Montreal,0
ONQC,S,2145e,Montreal,0
ONQC,S,2200e,Montreal,0
ONQC,S,2215e,Montreal,0
ONQC,S,2230e,Montreal,0
ONQC,S,2245e,Montreal,0
ONQC,S,2300e,Montreal,0
ONQC,S,2315e,Montreal,0
ONQC,S,2330e,Montreal,0
ONQC,S,2345e,Montreal,0
ONQC,S,0000w,Toronto,0
ONQC,S,0030w,Toronto,0
ONQC,S,0100w,Toronto,0
ONQC,S,0130w,Toronto,0
ONQC,S,0200w,Toronto,0
ONQC,S,0230w,Toronto,0
ONQC,S,0300w,Toronto,0
ONQC,S,0330w,Toronto,0
ONQC,S,0400w,Toronto,0
ONQC,S,0430w,Toronto,0
ONQC,S,0500w,Toronto,0
ONQC,S,0530w,Toronto,0
ONQC,S,0600w,Toronto,0
ONQC,S,0615w,Toronto,0
ONQC,S,0630w,Toronto,0
ONQC,S,0645w,Toronto,0
ONQC,S,0600w,Toronto,0
ONQC,S,0715w,Toronto,0
ONQC,S,0730w,Toronto,0
ONQC,S,0745w,Toronto,0
ONQC,S,0800w,Toronto,0
ONQC,S,0815w,Toronto,0
ONQC,S,0830w,Toronto,0
ONQC,S,0845w,Toronto,0
ONQC,S,0900w,Toronto,0
ONQC,S,0915w,Toronto,0
ONQC,S,0930w,Toronto,0
ONQC,S,0945w,Toronto,0
ONQC,S,1000w,Toronto,0
ONQC,S,1015w,Toronto,0
ONQC,S,1030w,Toronto,0
ONQC,S,1045w,Toronto,0
ONQC,S,1100w,Toronto,0
ONQC,S,1115w,Toronto,0
ONQC,S,1130w,Toronto,0
ONQC,S,1145w,Toronto,0
ONQC,S,1200w,Toronto,0
ONQC,S,1215w,Toronto,0
ONQC,S,1230w,Toronto,0
ONQC,S,1245w,Toronto,0
ONQC,S,1300w,Toronto,0
ONQC,S,1315w,Toronto,0
ONQC,S,1330w,Toronto,0
ONQC,S,1345w,Toronto,0
ONQC,S,1400w,Toronto,0
ONQC,S,1415w,Toronto,0
ONQC,S,1430w,Toronto,0
ONQC,S,1445w,Toronto,0
ONQC,S,1500w,Toronto,0
ONQC,S,1515w,Toronto,0
ONQC,S,1530w,Toronto,0
ONQC,S,1545w,Toronto,0
ONQC,S,1600w,Toronto,0
ONQC,S,1615w,Toronto,0
ONQC,S,1630w,Toronto,0
ONQC,S,1645w,Toronto,0
ONQC,S,1700w,Toronto,0
ONQC,S,1715w,Toronto,0
ONQC,S,1730w,Toronto,0
ONQC,S,1745w,Toronto,0
ONQC,S,1800w,Toronto,0
ONQC,S,1815w,Toronto,0
ONQC,S,1830w,Toronto,0
ONQC,S,1845w,Toronto,0
ONQC,S,1900w,Toronto,0
ONQC,S,1915w,Toronto,0
ONQC,S,1930w,Toronto,0
ONQC,S,1945w,Toronto,0
ONQC,S,2000w,Toronto,0
ONQC,S,2015w,Toronto,0
ONQC,S,2030w,Toronto,0
ONQC,S,2045w,Toronto,0
ONQC,S,2100w,Toronto,0
ONQC,S,2115w,Toronto,0
ONQC,S,2130w,Toronto,0
ONQC,S,2145w,Toronto,0
ONQC,S,2200w,Toronto,0
ONQC,S,2215w,Toronto,0
ONQC,S,2230w,Toronto,0
ONQC,S,2245w,Toronto,0
ONQC,S,2300w,Toronto,0
ONQC,S,2315w,Toronto,0
ONQC,S,2330w,Toronto,0
ONQC,S,2345w,Toronto,0
